id,x,y,z,qx,qy,qz,qw
1442,-91.7388,149.444,-5.15087,-0.00772692,0.00408847,0.958993,0.283297
1443,-95.1516,151.756,-5.20998,-0.0179586,0.00828961,0.959172,0.28213
1444,-98.5844,154.077,-5.37382,-0.0217337,0.0107856,0.95928,0.281413
1445,-102.105,156.465,-5.56497,-0.0162468,0.0131443,0.960193,0.278554
1446,-105.694,158.862,-5.71182,-0.0139084,0.015858,0.960582,0.277196
1447,-109.276,161.221,-5.84634,-0.0124838,0.0165621,0.961657,0.27347
1448,-112.764,163.461,-5.96262,-0.0129453,0.0173093,0.962903,0.268978
1449,-116.416,165.709,-6.08681,-0.0115378,0.00754088,0.964429,0.263982
1450,-119.879,167.881,-6.17904,-0.00835858,0.00484064,0.960233,0.279034
1451,-123.265,170.446,-6.24828,-0.0303852,0.00367803,0.930269,0.365598
1452,-125.825,173.868,-6.48957,-0.0292751,0.00222566,0.850818,0.524641
1453,-126.922,177.791,-6.67285,-0.0314744,0.00273544,0.739426,0.672497
1454,-126.462,181.96,-6.84625,-0.0321204,-0.00225279,0.600577,0.798919
1455,-124.713,185.69,-6.92982,-0.0222052,-0.00647482,0.506061,0.862187
1456,-122.453,189.258,-6.94433,-0.0221542,-0.0064683,0.481929,0.875906
1457,-120.095,192.781,-6.96908,-0.0225678,-0.0060781,0.482117,0.875795
1458,-117.841,196.218,-6.99296,-0.0225712,-0.00545344,0.485677,0.87383
1459,-115.572,199.69,-7.04757,-0.0251226,0.00343509,0.488002,0.872474
